Process ID	Burst Time	Arrival Time	Priority
1001	83	0	3
1002	86	0	5
1003	49	0	5
1004	86	0	4
1005	40	0	3
1006	60	0	3
1007	54	0	3
1008	90	0	4
1009	53	0	5
1010	59	0	4
1011	84	0	3
1012	65	0	5
1013	29	0	0
1014	9	0	3
1015	57	0	4
1016	89	0	3
1017	98	0	0
1018	62	0	5
1019	34	0	2
1020	61	0	1
1021	56	0	2
1022	7	0	0
1023	78	0	1
1024	29	0	0
1025	20	0	1
1026	32	0	0
1027	53	0	5
1028	74	0	4
1029	36	0	0
1030	45	0	1
1031	32	0	3
1032	87	0	1
1033	85	0	2
1034	88	0	5
1035	37	0	5
1036	10	0	0
1037	14	0	3
1038	79	0	4
1039	4	0	2
1040	28	0	2
1041	13	0	3
1042	21	0	0
1043	42	0	3
1044	38	0	3
1045	99	0	5
1046	51	0	5
1047	39	0	5
1048	8	0	5
1049	16	0	0
1050	32	0	5
1051	34	0	4
1052	47	0	1
1053	49	0	2
1054	96	0	2
1055	78	1	0
1056	39	1	3
1057	70	1	3
1058	44	1	2
1059	94	1	4
1060	1	1	0
1061	93	1	3
1062	42	1	2
1063	42	1	3
1064	38	1	2
1065	36	1	5
1066	54	1	3
1067	54	1	3
1068	2	1	5
1069	97	1	2
1070	59	1	4
1071	34	1	4
1072	75	1	0
1073	91	1	3
1074	40	1	2
1075	42	1	3
1076	15	1	0
1077	95	1	4
1078	64	1	2
1079	37	1	2
1080	17	1	1
1081	55	1	2
1082	4	1	0
1083	55	1	0
1084	73	1	5
1085	37	1	3
1086	32	1	0
1087	28	1	1
1088	5	1	0
1089	88	1	4
1090	37	1	0
1091	89	1	4
1092	94	1	5
1093	44	1	0
1094	11	1	1
1095	46	1	2
1096	99	1	4
1097	19	1	5
1098	56	1	3
1099	76	1	4
1100	59	1	0
1101	92	2	5
1102	17	2	4
1103	89	2	1
1104	52	2	0
1105	1	2	1
1106	26	2	2
1107	16	2	3
1108	12	2	3
1109	64	2	5
1110	72	2	2
1111	63	2	4
1112	26	2	0
1113	54	2	4
1114	42	2	3
1115	49	2	0
1116	28	2	2
1117	75	2	5
1118	39	2	1
1119	82	2	0
1120	53	2	4
1121	13	2	3
1122	52	2	5
1123	46	2	4
1124	35	2	2
1125	53	2	4
1126	39	2	5
1127	31	2	4
1128	27	2	0
1129	91	2	5
1130	67	2	2
1131	79	2	0
1132	44	2	3
1133	89	2	5
1134	37	2	0
1135	6	2	0
1136	61	2	2
1137	32	2	3
1138	26	2	1
1139	52	2	0
1140	86	2	5
1141	6	2	1
1142	60	2	0
1143	31	2	0
1144	57	2	0
1145	61	2	3
1146	87	2	4
1147	65	2	3
1148	94	2	3
1149	11	2	4
1150	84	2	0
1151	85	2	1
1152	74	2	1
1153	94	2	2
1154	64	3	4
1155	21	3	4
1156	51	3	1
1157	58	3	1
1158	43	3	5
1159	64	3	1
1160	1	3	5
1161	46	3	0
1162	1	3	3
1163	21	3	0
1164	53	3	5
1165	14	3	4
1166	4	3	2
1167	92	3	4
1168	56	3	4
1169	98	3	1
1170	54	3	4
1171	38	3	3
1172	66	3	0
1173	39	3	4
1174	55	3	5
1175	76	3	0
1176	35	4	5
1177	85	4	5
1178	18	4	2
1179	28	4	3
1180	74	4	3
1181	98	4	0
1182	63	4	3
1183	46	4	3
1184	9	4	3
1185	76	4	4
1186	1	4	0
1187	83	4	2
1188	33	4	2
1189	76	4	5
1190	27	4	1
1191	70	5	3
1192	95	5	5
1193	90	5	4
1194	55	5	5
1195	19	5	5
1196	39	5	3
1197	31	5	0
1198	76	5	0
1199	7	5	2
1200	79	5	1
